std DVARS	non-std DVARS	vx-wise std DVARS
1.77472615	12.21237087	1.71098304
1.05995893	7.29386425	0.85103440
0.82531697	5.67922926	0.77762103
0.61408192	4.22566366	0.56417263
0.89206749	6.13855743	0.91215211
1.21449316	8.35725594	1.11218786
1.71310842	11.78836250	1.65394282
1.06767011	7.34692669	0.96589321
1.17699564	8.09922504	1.05422974
0.92906392	6.39313984	0.86353636
0.67289019	4.63033915	0.59195602
0.58765256	4.04379606	0.51958281
0.89940745	6.18906593	0.86946636
1.03512895	7.12300253	0.97585797
1.57015657	10.80467224	1.64337540
0.86534882	5.95469904	0.78171492
0.61323678	4.21984816	0.50528282
0.77642626	5.34279919	0.74623573
0.71827722	4.94265985	0.63603288
0.95051104	6.54072332	0.93180752
0.93731236	6.44989967	0.78561223
0.54258996	3.73370814	0.49088475
1.16992986	8.05060387	1.03758991
0.79722393	5.48591328	0.64539552
0.72115707	4.96247673	0.66211748
0.58247560	4.00817204	0.52496034
0.61011034	4.19833422	0.57319206
1.06390464	7.32101583	0.98419702
1.52014601	10.46053600	1.39949739
1.41179097	9.71491528	1.25552595
1.69859135	11.68846607	1.40818202
1.08793628	7.48638391	0.90627074
1.23315465	8.48567104	1.18507099
0.72676945	5.00109720	0.60635328
0.56121027	3.86183953	0.58404899
1.31633830	9.05807972	1.32724345
1.49761558	10.30549812	1.28055382
1.16616166	8.02467346	1.06335831
1.32152593	9.09377766	1.16915011
1.08740044	7.48269653	0.90730345
1.14527750	7.88096380	0.98275584
0.66290045	4.56159735	0.56844664
0.71910685	4.94836855	0.54556274
0.80226225	5.52058363	0.67112601
0.93798059	6.45449829	0.84140438
0.77040476	5.30136347	0.66904181
0.80693531	5.55274010	0.76715297
1.03778231	7.14126110	0.94705772
0.93941110	6.46434164	0.76621592
1.33512044	9.18732452	1.13650167
1.36225271	9.37402916	1.20568955
1.27640796	8.78330803	0.95808035
1.08334839	7.45481348	0.94625473
0.81084567	5.57964849	0.69801176
0.62314165	4.28800631	0.56963247
0.74807703	5.14772034	0.61727452
0.55279219	3.80391240	0.47939435
0.98855525	6.80251598	0.96151817
0.74762732	5.14462566	0.63194394
0.80904889	5.56728411	0.73144549
1.12145209	7.71701527	1.02693832
1.62897134	11.20939255	1.47168159
1.22392499	8.42215919	1.16843808
1.35268128	9.30816555	1.23963773
1.43864501	9.89970493	1.15038109
1.33512497	9.18735600	1.25252676
0.90832835	6.25045300	0.83426648
0.61819857	4.25399160	0.58201057
1.02800071	7.07395077	0.94429010
1.52163029	10.47074986	1.44099867
1.10639000	7.61336851	0.87722790
0.96799940	6.66106558	0.76473182
0.85056633	5.85297680	0.76718205
0.69435459	4.77804184	0.66268486
0.61115801	4.20554352	0.69297647
0.72084379	4.96032095	0.65976167
1.57188153	10.81654167	1.49566913
1.44233322	9.92508507	1.26892173
1.53528833	10.56473446	1.49027824
1.26942670	8.73526859	1.14837325
1.40611541	9.67586040	1.15849400
0.68117160	4.68732595	0.62366307
0.86718136	5.96730947	0.79392141
0.67854077	4.66922235	0.62613845
0.71399981	4.91322565	0.61277080
0.53477651	3.67994189	0.47478566
0.93757129	6.45168161	0.86281908
1.17749596	8.10266781	1.15088558
0.92660511	6.37622023	0.81155336
1.11288893	7.65808964	0.80651832
0.94079942	6.47389507	0.83269173
0.83950645	5.77687073	0.76003748
0.87925363	6.05038214	0.79360330
0.86148101	5.92808390	0.70353013
1.03929532	7.15167189	0.80639809
0.93972063	6.46647167	0.90440911
0.88313544	6.07709360	0.68250906
0.71723253	4.93547106	0.60442674
1.15955544	7.97921467	1.10804379
1.35491645	9.32354641	1.29271936
1.35007787	9.29025078	1.19677973
0.88289034	6.07540703	0.79319906
1.26703811	8.71883202	1.21662295
1.23811150	8.51978016	0.96301109
0.90522075	6.22906876	0.82269299
0.72269517	4.97306108	0.74197423
0.75088602	5.16704988	0.65122402
0.62392008	4.29336262	0.57075375
1.23981822	8.53152466	1.12585771
0.64401406	4.43163490	0.58639121
0.55371290	3.81024837	0.50616676
0.51379943	3.53559279	0.47604826
1.08068538	7.43648815	1.00227499
1.56520581	10.77060413	1.43695974
1.11841106	7.69608879	0.91412431
1.21569645	8.36553574	1.11960375
0.84691960	5.82788277	0.79109830
0.97080016	6.68033838	0.79403609
0.89468127	6.15654373	0.80570489
0.90805507	6.24857235	0.77748942
0.57089704	3.92849708	0.49272192
0.55226159	3.80026126	0.56384778
0.70245206	4.83376265	0.66216195
1.76984179	12.17875957	1.72990525
1.35489011	9.32336521	1.21934235
1.08980775	7.49926186	0.94889039
1.08091724	7.43808365	1.04408145
1.59887779	11.00231075	1.51200020
1.15075171	7.91863394	1.16055596
0.87074429	5.99182701	0.88538826
1.12111509	7.71469593	0.91423440
1.04386663	7.18312836	0.97228122
1.06608498	7.33601904	0.87678570
0.98728728	6.79379082	0.90818977
0.61520386	4.23338413	0.50615585
0.85424894	5.87831783	0.85350436
1.54775214	10.65050125	1.31959569
1.27249372	8.75637341	1.20609105
0.98942173	6.80847836	0.94953084
0.82480091	5.67567825	0.69999605
0.67328596	4.63306284	0.62013155
1.15318108	7.93535089	1.08455038
1.94821179	13.40617180	1.79924715
