CompCor00	CompCor01	CompCor02	CompCor03	CompCor04	CompCor05
-0.0100706164	-0.0061766094	0.0379879864	-0.1683852361	-0.1390705938	0.0460456270
0.0100383372	-0.0020931463	0.1005746210	0.1399243598	-0.0705104733	-0.1225058621
-0.0025985925	-0.1256339270	0.0301853016	-0.0535517509	-0.1419741763	-0.1060465078
-0.0369315738	0.1043832977	0.1462410747	0.0842339822	-0.0210661524	-0.0411089739
-0.0963339770	-0.0820788351	0.0589333945	-0.0367224406	-0.0440809570	-0.0911864434
-0.1350093677	0.0837313769	0.0380854147	0.0604193342	-0.0024368426	-0.1240036513
-0.1122801171	-0.0686627225	-0.0683406040	0.0402803930	-0.0415153730	-0.0691621063
-0.0318593109	0.1329141864	-0.0347417269	0.0415279969	-0.1571043810	0.0956925703
0.0796702531	-0.0229743781	-0.0449974308	0.1455641774	-0.1465099249	0.0158023732
0.1792865877	0.0372933779	-0.0455292518	-0.0562409410	-0.1548242296	0.0226689027
0.1711030131	-0.0005653125	0.1022274732	0.0969585396	0.0310887372	-0.1257414023
0.0932424485	-0.1836156209	0.1518969214	-0.0396810060	-0.0313647610	-0.0454063148
0.0366518206	0.1172658928	0.1662258394	-0.1082193469	-0.0868055300	0.0682634378
-0.0172913876	-0.0617118814	0.1696148263	0.0812225850	-0.0336072435	0.0692851312
-0.0720479331	-0.0477339464	0.0433264383	-0.1005150397	-0.0777892841	-0.0512072517
-0.1023617321	-0.0059911544	0.0453264155	0.1029103811	0.0082778601	-0.1147077398
-0.1026456115	-0.0615098393	-0.0923455328	-0.0114440756	-0.0861947475	-0.0961389609
-0.0213781262	0.0618576886	-0.0381482789	0.1043118862	0.0560286793	0.0697935108
-0.0360455839	-0.0568445360	-0.0584587032	-0.0241359485	0.0720914147	0.0740793756
-0.0483846058	0.0002309562	-0.0631198698	0.0249725248	0.1140916600	-0.0324140474
-0.0221880728	-0.0465399124	-0.1119736119	-0.0009852782	0.0197755259	-0.0152213697
0.0416134374	0.0907149889	-0.0840892372	0.0942857302	-0.0155812461	0.1198469569
0.1730363052	-0.1005452406	-0.1245825559	0.0563142142	-0.0813172494	-0.0211699788
0.1781042824	0.1363323137	-0.0208214087	-0.0968884215	0.0673134331	-0.0081341646
0.1214677062	-0.1120234033	0.1210367008	0.0568299001	0.0857252343	0.0577385982
0.0780356414	-0.0408652152	0.0902815450	-0.1706327985	-0.0728249765	0.0950952050
0.0175026358	0.0493279154	0.1552244058	-0.0006141540	0.0059552982	-0.0633308239
-0.0311807135	-0.0919835344	0.1019615967	-0.0334618677	-0.0383660209	0.0144404805
-0.0975185939	-0.0341816530	0.0485217998	-0.1111794656	-0.0620160167	0.0707069157
-0.1324320509	-0.0052690914	0.0328666591	-0.0107053316	0.0180535818	0.0538338872
-0.1224765921	0.0290038982	-0.0512166397	-0.0531495133	-0.0251382095	0.1010574002
-0.0925444297	0.0239949587	-0.0588455807	0.1179251417	-0.0970237518	0.1454388515
0.0622259453	0.0030171683	-0.1116908877	0.0154954147	-0.2131307931	-0.0105364313
0.1403779505	0.1429935443	0.0303078875	0.0677717766	-0.0852025947	-0.0338286405
0.1386237088	-0.1478436585	0.0951889485	0.0729043809	-0.0799682196	-0.0816102909
0.0654071055	0.0975509555	0.1313301988	-0.1150141849	-0.0315186767	-0.0565103398
-0.0534519057	-0.0658993982	0.1432408249	0.0109186622	-0.0197482780	-0.0008516870
0.0170079598	-0.0124990458	0.0416787899	0.0271212069	-0.0681492447	-0.0722856687
-0.0416155920	-0.0215803407	0.0121104647	-0.0677232231	0.0155142495	-0.1705253978
-0.0973430316	0.0704050195	0.0169853946	0.0998979068	-0.0477015556	-0.1065939107
-0.0264218907	-0.0243780474	-0.0856150388	0.0437595533	-0.0458302947	0.0004112806
0.0194237706	0.1231191313	-0.0224413729	-0.0347661581	0.0229638062	0.0865709464
-0.0376740578	-0.0253382571	-0.0144164816	-0.0607630164	0.0988358421	0.0524259065
-0.0511859507	0.0337386517	-0.0033743765	0.0207142078	0.0607764285	-0.0109630389
0.0118580627	-0.0695893773	-0.0598318366	0.0596076072	-0.0427001657	0.0467457222
0.1044185242	0.1389886255	-0.0707305300	-0.0506265046	0.0278655519	-0.1463789242
0.0381863460	-0.0850361779	0.0186374839	0.0209101485	0.1841587152	-0.1288887181
-0.0152432065	0.0068228500	-0.0535838127	-0.1838670386	0.1312083593	0.0730313653
-0.0429557335	0.0041105302	-0.0477270913	0.0153118090	0.1725291170	0.0287336396
-0.0228594553	0.0996993083	-0.0879317766	-0.0372892463	0.0457131525	0.0087135721
0.0611954271	-0.0066905481	-0.1021900982	0.1222814944	-0.0396441059	-0.0305524339
0.2247883175	-0.0526159755	-0.0913826932	-0.0578400793	-0.0913479043	0.0285806076
